round,days,DELTA_Q_TARGET,DELTA_Q_EXTREME,DELTA_Q_ULTRA,final_pnl
2,"-1,0,1",24.0,34.0,75.0,62514.0
2,"-1,0,1",23.0,38.0,76.0,62727.0
2,"-1,0,1",22.0,42.0,77.0,62665.0
2,"-1,0,1",21.0,37.0,75.0,62586.0
2,"-1,0,1",24.0,34.0,74.0,62400.0
2,"-1,0,1",21.0,32.0,78.0,62900.0
2,"-1,0,1",23.0,38.0,75.0,62563.0
2,"-1,0,1",22.0,42.0,76.0,62635.0
2,"-1,0,1",21.0,37.0,74.0,62463.0
2,"-1,0,1",23.0,34.0,80.0,62747.0
2,"-1,0,1",23.0,38.0,74.0,62482.0
2,"-1,0,1",22.0,42.0,75.0,62335.0
2,"-1,0,1",20.0,37.0,80.0,62824.0
2,"-1,0,1",23.0,34.0,79.0,62717.0
2,"-1,0,1",22.0,38.0,80.0,62688.0
2,"-1,0,1",22.0,42.0,74.0,62262.0
2,"-1,0,1",20.0,37.0,79.0,62824.0
2,"-1,0,1",23.0,34.0,78.0,62617.0
2,"-1,0,1",22.0,38.0,79.0,62688.0
2,"-1,0,1",21.0,42.0,80.0,62902.0
2,"-1,0,1",20.0,37.0,78.0,62799.0
2,"-1,0,1",23.0,34.0,77.0,62727.0
2,"-1,0,1",22.0,38.0,78.0,62662.0
2,"-1,0,1",21.0,42.0,79.0,62902.0
2,"-1,0,1",20.0,37.0,77.0,62701.0
2,"-1,0,1",23.0,34.0,76.0,62727.0
2,"-1,0,1",19.0,32.0,76.0,62352.0
2,"-1,0,1",22.0,38.0,77.0,62565.0
2,"-1,0,1",21.0,42.0,78.0,62881.0
2,"-1,0,1",20.0,37.0,76.0,62705.0
2,"-1,0,1",23.0,34.0,75.0,62563.0
2,"-1,0,1",22.0,38.0,76.0,62518.0
2,"-1,0,1",21.0,42.0,77.0,62889.0
2,"-1,0,1",20.0,37.0,75.0,62563.0
2,"-1,0,1",23.0,34.0,74.0,62482.0
2,"-1,0,1",22.0,38.0,75.0,62372.0
2,"-1,0,1",21.0,42.0,76.0,62903.0
2,"-1,0,1",20.0,37.0,74.0,62436.0
2,"-1,0,1",22.0,34.0,80.0,62688.0
2,"-1,0,1",22.0,38.0,74.0,62299.0
2,"-1,0,1",21.0,42.0,75.0,62567.0
2,"-1,0,1",19.0,37.0,80.0,62668.0
2,"-1,0,1",22.0,34.0,79.0,62688.0
2,"-1,0,1",21.0,38.0,80.0,62985.0
2,"-1,0,1",21.0,42.0,74.0,62444.0
2,"-1,0,1",19.0,37.0,79.0,62510.0
2,"-1,0,1",22.0,34.0,78.0,62662.0
2,"-1,0,1",21.0,38.0,79.0,62985.0
2,"-1,0,1",20.0,42.0,80.0,62740.0
2,"-1,0,1",19.0,37.0,78.0,62510.0
2,"-1,0,1",22.0,34.0,77.0,62565.0
2,"-1,0,1",21.0,38.0,78.0,62960.0
2,"-1,0,1",20.0,42.0,79.0,62740.0
2,"-1,0,1",19.0,37.0,77.0,62370.0
2,"-1,0,1",22.0,34.0,76.0,62518.0
2,"-1,0,1",21.0,38.0,77.0,62803.0
2,"-1,0,1",20.0,42.0,78.0,62719.0
2,"-1,0,1",19.0,37.0,76.0,62374.0
2,"-1,0,1",22.0,34.0,75.0,62372.0
2,"-1,0,1",21.0,38.0,76.0,62768.0
2,"-1,0,1",20.0,42.0,77.0,62787.0
2,"-1,0,1",19.0,37.0,75.0,62222.0
2,"-1,0,1",22.0,34.0,74.0,62299.0
2,"-1,0,1",21.0,38.0,75.0,62586.0
2,"-1,0,1",20.0,42.0,76.0,62840.0
2,"-1,0,1",19.0,37.0,74.0,62110.0
2,"-1,0,1",21.0,34.0,80.0,62985.0
2,"-1,0,1",21.0,38.0,74.0,62463.0
2,"-1,0,1",20.0,42.0,75.0,62544.0
2,"-1,0,1",18.0,37.0,80.0,62112.0
2,"-1,0,1",21.0,34.0,79.0,62985.0
2,"-1,0,1",20.0,38.0,80.0,62824.0
2,"-1,0,1",20.0,42.0,74.0,62417.0
2,"-1,0,1",18.0,37.0,79.0,61954.0
2,"-1,0,1",21.0,34.0,78.0,62960.0
2,"-1,0,1",20.0,38.0,79.0,62824.0
2,"-1,0,1",19.0,42.0,80.0,62636.0
2,"-1,0,1",18.0,37.0,78.0,61954.0
2,"-1,0,1",21.0,34.0,77.0,62803.0
2,"-1,0,1",20.0,38.0,78.0,62799.0
2,"-1,0,1",19.0,42.0,79.0,62609.0
2,"-1,0,1",18.0,37.0,77.0,61844.0
2,"-1,0,1",21.0,34.0,76.0,62768.0
2,"-1,0,1",19.0,32.0,75.0,62200.0
2,"-1,0,1",20.0,38.0,77.0,62701.0
2,"-1,0,1",19.0,42.0,78.0,62478.0
2,"-1,0,1",18.0,37.0,76.0,62011.0
2,"-1,0,1",21.0,34.0,75.0,62586.0
2,"-1,0,1",20.0,38.0,76.0,62705.0
2,"-1,0,1",18.0,32.0,78.0,61968.0
2,"-1,0,1",19.0,42.0,77.0,62456.0
2,"-1,0,1",18.0,37.0,75.0,61859.0
2,"-1,0,1",21.0,34.0,74.0,62463.0
2,"-1,0,1",20.0,38.0,75.0,62563.0
2,"-1,0,1",19.0,42.0,76.0,62609.0
2,"-1,0,1",18.0,37.0,74.0,61762.0
2,"-1,0,1",20.0,34.0,80.0,62824.0
2,"-1,0,1",20.0,38.0,74.0,62436.0
2,"-1,0,1",19.0,42.0,75.0,62203.0
2,"-1,0,1",24.0,36.0,80.0,62582.0
2,"-1,0,1",20.0,34.0,79.0,62824.0
2,"-1,0,1",19.0,38.0,80.0,62668.0
2,"-1,0,1",19.0,42.0,74.0,62091.0
2,"-1,0,1",24.0,36.0,79.0,62552.0
2,"-1,0,1",20.0,34.0,78.0,62799.0
2,"-1,0,1",19.0,38.0,79.0,62510.0
2,"-1,0,1",18.0,42.0,80.0,62074.0
2,"-1,0,1",24.0,36.0,78.0,62496.0
2,"-1,0,1",20.0,34.0,77.0,62701.0
2,"-1,0,1",18.0,32.0,77.0,61858.0
2,"-1,0,1",19.0,38.0,78.0,62510.0
2,"-1,0,1",18.0,42.0,79.0,62074.0
2,"-1,0,1",24.0,36.0,77.0,62562.0
2,"-1,0,1",20.0,34.0,76.0,62705.0
2,"-1,0,1",19.0,38.0,77.0,62370.0
2,"-1,0,1",18.0,42.0,78.0,62082.0
2,"-1,0,1",24.0,36.0,76.0,62562.0
2,"-1,0,1",20.0,34.0,75.0,62563.0
2,"-1,0,1",19.0,38.0,76.0,62374.0
2,"-1,0,1",18.0,42.0,77.0,62100.0
2,"-1,0,1",24.0,36.0,75.0,62514.0
2,"-1,0,1",20.0,34.0,74.0,62436.0
2,"-1,0,1",18.0,32.0,76.0,61989.0
2,"-1,0,1",19.0,38.0,75.0,62222.0
2,"-1,0,1",18.0,42.0,76.0,62125.0
2,"-1,0,1",24.0,36.0,74.0,62400.0
2,"-1,0,1",19.0,34.0,80.0,62668.0
2,"-1,0,1",19.0,38.0,74.0,62110.0
2,"-1,0,1",18.0,42.0,75.0,61973.0
2,"-1,0,1",23.0,36.0,80.0,62747.0
2,"-1,0,1",19.0,34.0,79.0,62510.0
2,"-1,0,1",18.0,38.0,80.0,62112.0
2,"-1,0,1",18.0,42.0,74.0,61876.0
2,"-1,0,1",23.0,36.0,79.0,62717.0
2,"-1,0,1",19.0,34.0,78.0,62510.0
2,"-1,0,1",18.0,38.0,79.0,61954.0
2,"-1,0,1",24.0,41.0,80.0,62622.0
2,"-1,0,1",23.0,36.0,78.0,62617.0
2,"-1,0,1",19.0,34.0,77.0,62370.0
2,"-1,0,1",18.0,38.0,78.0,61954.0
2,"-1,0,1",24.0,41.0,79.0,62592.0
2,"-1,0,1",23.0,36.0,77.0,62727.0
2,"-1,0,1",19.0,34.0,76.0,62374.0
2,"-1,0,1",18.0,38.0,77.0,61844.0
2,"-1,0,1",18.0,32.0,75.0,61837.0
2,"-1,0,1",24.0,41.0,78.0,62592.0
2,"-1,0,1",23.0,36.0,76.0,62727.0
2,"-1,0,1",19.0,34.0,75.0,62222.0
2,"-1,0,1",18.0,38.0,76.0,62011.0
2,"-1,0,1",24.0,41.0,77.0,62576.0
2,"-1,0,1",23.0,36.0,75.0,62563.0
2,"-1,0,1",19.0,34.0,74.0,62110.0
2,"-1,0,1",18.0,38.0,75.0,61859.0
2,"-1,0,1",24.0,41.0,76.0,62544.0
2,"-1,0,1",23.0,36.0,74.0,62482.0
2,"-1,0,1",18.0,34.0,80.0,62112.0
2,"-1,0,1",22.0,40.0,75.0,62354.0
2,"-1,0,1",24.0,41.0,75.0,62496.0
2,"-1,0,1",22.0,36.0,80.0,62688.0
2,"-1,0,1",18.0,34.0,79.0,61954.0
2,"-1,0,1",22.0,40.0,74.0,62281.0
2,"-1,0,1",24.0,41.0,74.0,62382.0
2,"-1,0,1",22.0,36.0,79.0,62688.0
2,"-1,0,1",18.0,34.0,78.0,61954.0
2,"-1,0,1",21.0,40.0,80.0,62985.0
2,"-1,0,1",23.0,41.0,80.0,62787.0
2,"-1,0,1",22.0,36.0,78.0,62662.0
2,"-1,0,1",18.0,34.0,77.0,61844.0
2,"-1,0,1",21.0,40.0,79.0,62985.0
2,"-1,0,1",23.0,41.0,79.0,62757.0
2,"-1,0,1",22.0,36.0,77.0,62565.0
2,"-1,0,1",18.0,34.0,76.0,62011.0
2,"-1,0,1",18.0,32.0,80.0,62077.0
2,"-1,0,1",21.0,40.0,78.0,62960.0
2,"-1,0,1",23.0,41.0,78.0,62757.0
2,"-1,0,1",22.0,36.0,76.0,62518.0
2,"-1,0,1",18.0,34.0,75.0,61859.0
2,"-1,0,1",21.0,40.0,77.0,62803.0
2,"-1,0,1",20.0,32.0,74.0,62496.0
2,"-1,0,1",23.0,41.0,77.0,62741.0
2,"-1,0,1",22.0,36.0,75.0,62372.0
2,"-1,0,1",18.0,34.0,74.0,61762.0
2,"-1,0,1",21.0,40.0,76.0,62768.0
2,"-1,0,1",23.0,41.0,76.0,62709.0
2,"-1,0,1",22.0,36.0,74.0,62299.0
2,"-1,0,1",24.0,33.0,80.0,62582.0
2,"-1,0,1",19.0,32.0,78.0,62524.0
2,"-1,0,1",21.0,40.0,75.0,62586.0
2,"-1,0,1",20.0,32.0,78.0,62739.0
2,"-1,0,1",23.0,41.0,75.0,62545.0
2,"-1,0,1",21.0,36.0,80.0,62985.0
2,"-1,0,1",24.0,33.0,79.0,62552.0
2,"-1,0,1",21.0,40.0,74.0,62463.0
2,"-1,0,1",23.0,41.0,74.0,62464.0
2,"-1,0,1",21.0,36.0,79.0,62985.0
2,"-1,0,1",24.0,33.0,78.0,62496.0
2,"-1,0,1",20.0,32.0,77.0,62701.0
2,"-1,0,1",20.0,40.0,80.0,62824.0
2,"-1,0,1",22.0,41.0,80.0,62728.0
2,"-1,0,1",21.0,36.0,78.0,62960.0
2,"-1,0,1",24.0,33.0,77.0,62562.0
2,"-1,0,1",19.0,32.0,77.0,62384.0
2,"-1,0,1",20.0,40.0,79.0,62824.0
2,"-1,0,1",22.0,41.0,79.0,62728.0
2,"-1,0,1",21.0,36.0,77.0,62803.0
2,"-1,0,1",24.0,33.0,76.0,62562.0
2,"-1,0,1",20.0,40.0,78.0,62799.0
2,"-1,0,1",22.0,41.0,78.0,62736.0
2,"-1,0,1",21.0,36.0,76.0,62768.0
2,"-1,0,1",24.0,33.0,75.0,62514.0
2,"-1,0,1",20.0,40.0,77.0,62701.0
2,"-1,0,1",22.0,41.0,77.0,62579.0
2,"-1,0,1",21.0,36.0,75.0,62586.0
2,"-1,0,1",24.0,33.0,74.0,62400.0
2,"-1,0,1",20.0,40.0,76.0,62705.0
2,"-1,0,1",22.0,41.0,76.0,62500.0
2,"-1,0,1",21.0,36.0,74.0,62463.0
2,"-1,0,1",23.0,33.0,80.0,62747.0
2,"-1,0,1",20.0,40.0,75.0,62563.0
2,"-1,0,1",22.0,41.0,75.0,62354.0
2,"-1,0,1",20.0,36.0,80.0,62824.0
2,"-1,0,1",23.0,33.0,79.0,62717.0
2,"-1,0,1",20.0,40.0,74.0,62436.0
2,"-1,0,1",22.0,41.0,74.0,62281.0
2,"-1,0,1",20.0,36.0,79.0,62824.0
2,"-1,0,1",23.0,33.0,78.0,62617.0
2,"-1,0,1",19.0,40.0,80.0,62668.0
2,"-1,0,1",21.0,41.0,80.0,62985.0
2,"-1,0,1",20.0,36.0,78.0,62799.0
2,"-1,0,1",23.0,33.0,77.0,62727.0
2,"-1,0,1",18.0,32.0,79.0,61919.0
2,"-1,0,1",19.0,40.0,79.0,62510.0
2,"-1,0,1",21.0,41.0,79.0,62985.0
